variant_chr,magi_num,seed_num
Pro-rata with match rate,9250,78.47857534399836
Pro-rata with match rate,9500,77.89691521816047
Pro-rata with match rate,9750,77.31525509232259
Pro-rata with match rate,10000,76.7335949664847
Pro-rata with match rate,10250,76.15193484064683
Pro-rata with match rate,10500,75.57027471480895
Pro-rata with match rate,10750,74.98861458897106
Pro-rata with match rate,11000,74.40695446313319
Pro-rata with match rate,11250,73.8252943372953
Pro-rata with match rate,11500,73.24363421145742
Pro-rata with match rate,11750,72.66197408561953
Pro-rata with match rate,12000,72.08031395978165
Pro-rata with match rate,12250,71.49865383394376
Pro-rata with match rate,12500,70.91699370810589
Pro-rata with match rate,12750,70.335333582268
Pro-rata with match rate,13000,69.75367345643012
Pro-rata with match rate,13250,69.17201333059225
Pro-rata with match rate,13500,68.59035320475436
Pro-rata with match rate,13750,68.00869307891648
Pro-rata with match rate,14000,67.4270329530786
Pro-rata with match rate,14250,66.84537282724071
Pro-rata with match rate,14500,66.26371270140282
Pro-rata with match rate,14750,65.68205257556494
Pro-rata with match rate,15000,65.10039244972707
Pro-rata with match rate,15250,64.51873232388918
Pro-rata with match rate,15500,63.937072198051304
Pro-rata with match rate,15750,63.35541207221342
Pro-rata with match rate,16000,62.77375194637554
Pro-rata with match rate,16250,62.192091820537655
Pro-rata with match rate,16500,61.61043169469977
Pro-rata with match rate,16750,61.02877156886189
Pro-rata with match rate,17000,60.447111443024006
Pro-rata with match rate,17250,59.86545131718613
Pro-rata with match rate,17500,59.28379119134824
Pro-rata with match rate,17750,58.702131065510365
Pro-rata with match rate,18000,58.12047093967248
Pro-rata with match rate,18250,57.5388108138346
Pro-rata with match rate,18500,56.957150687996716
Pro-rata with match rate,18750,56.37549056215883
Pro-rata with match rate,19000,55.79383043632095
Pro-rata with match rate,19250,55.21217031048307
Pro-rata with match rate,19500,54.63051018464519
Pro-rata with match rate,19750,54.048850058807304
Pro-rata with match rate,20000,53.467189932969426
Pro-rata with match rate,20250,52.88552980713154
Pro-rata with match rate,20500,52.303869681293655
Pro-rata with match rate,20750,51.72220955545578
Pro-rata with match rate,21000,51.14054942961789
Pro-rata with match rate,21250,50.55888930378001
Pro-rata with match rate,21500,49.97722917794213
Pro-rata with match rate,21750,49.39556905210425
Pro-rata with match rate,22000,48.813908926266365
Pro-rata with match rate,22250,48.23224880042848
Pro-rata with match rate,22500,47.6505886745906
Pro-rata with match rate,22750,47.06892854875272
Pro-rata with match rate,23000,46.48726842291484
Pro-rata with match rate,23250,45.90560829707695
Pro-rata with match rate,23500,45.323948171239074
Pro-rata with match rate,23750,44.74228804540119
Pro-rata with match rate,24000,44.160627919563304
Pro-rata with match rate,24250,43.578967793725425
Pro-rata with match rate,24500,42.99730766788755
Pro-rata with match rate,24750,42.41564754204966
Pro-rata with match rate,25000,41.83398741621178
Pro-rata with match rate,25250,41.2523272903739
Pro-rata with match rate,25500,40.67066716453601
Pro-rata with match rate,25750,40.08900703869813
Pro-rata with match rate,26000,39.50734691286025
Pro-rata with match rate,26250,38.925686787022364
Pro-rata with match rate,26500,38.344026661184486
Pro-rata with match rate,26750,37.7623665353466
Pro-rata with match rate,27000,37.18070640950872
Pro-rata with match rate,27250,36.59904628367084
Pro-rata with match rate,27500,36.01738615783295
Pro-rata with match rate,27750,35.435726031995074
Pro-rata with match rate,28000,34.85406590615719
Pro-rata with match rate,28250,34.2724057803193
Pro-rata with match rate,28500,33.69074565448143
Pro-rata with match rate,28750,33.10908552864355
Pro-rata with match rate,29000,32.52742540280566
Pro-rata with match rate,29250,31.945765276967776
Pro-rata with match rate,29500,31.36410515112989
Pro-rata with match rate,29750,30.782445025292017
Pro-rata with match rate,30000,30.200784899454135
Pro-rata with match rate,30250,29.61912477361625
Pro-rata with match rate,30500,29.037464647778364
Pro-rata with match rate,30750,28.455804521940493
Pro-rata with match rate,31000,27.874144396102608
Pro-rata with match rate,31250,27.292484270264723
Pro-rata with match rate,31500,26.710824144426837
Pro-rata with match rate,31750,26.129164018588952
Pro-rata with match rate,32000,25.547503892751084
Pro-rata with match rate,32250,24.965843766913196
Pro-rata with match rate,32500,24.38418364107531
Pro-rata with match rate,32750,23.802523515237425
Pro-rata with match rate,33000,23.220863389399536
Pro-rata with match rate,33250,22.63920326356167
Pro-rata with match rate,33500,22.057543137723783
Pro-rata with match rate,33750,21.475883011885898
Pro-rata with match rate,34000,20.894222886048013
Pro-rata with match rate,34250,20.31256276021014
Pro-rata with match rate,34500,19.730902634372256
Pro-rata with match rate,34750,19.14924250853437
Pro-rata with match rate,35000,18.567582382696486
Pro-rata with match rate,35250,17.9859222568586
Pro-rata with match rate,35500,17.40426213102073
Pro-rata with match rate,35750,16.822602005182844
Pro-rata with match rate,36000,16.24094187934496
Pro-rata with match rate,36250,15.659281753507074
Pro-rata with match rate,36500,15.077621627669188
Pro-rata with match rate,36750,14.495961501831315
Pro-rata with match rate,37000,13.914301375993432
Pro-rata with match rate,37250,13.332641250155548
Pro-rata with match rate,37500,12.750981124317661
Pro-rata with match rate,37750,12.16932099847979
Pro-rata with match rate,38000,11.587660872641905
Pro-rata with match rate,38250,11.00600074680402
Pro-rata with match rate,38500,10.424340620966134
Pro-rata with match rate,38750,9.84268049512825
Pro-rata with match rate,39000,9.261020369290378
Pro-rata with match rate,39250,8.679360243452493
Pro-rata with match rate,39500,8.097700117614608
Pro-rata with match rate,39750,7.516039991776722
Pro-rata with match rate,40000,6.934379865938837
Pro-rata with match rate,40250,6.352719740100965
Pro-rata with match rate,40500,5.7710596142630814
Pro-rata with match rate,40750,5.189399488425194
Pro-rata with match rate,41000,4.60773936258731
Pro-rata with match rate,41250,4.026079236749439
Pro-rata with match rate,41500,3.4444191109115536
Pro-rata with match rate,41750,2.8627589850736683
Pro-rata with match rate,42000,2.281098859235783
Pro-rata with match rate,42250,1.6994387333978977
Pro-rata with match rate,42500,1.1177786075600267
Pro-rata with match rate,42750,0.5361184817221414
Pro-rata with match rate,43000,0
Pro-rata with match rate,43250,0
Pro-rata with match rate,43500,0
Pro-rata with match rate,43750,0
Pro-rata with match rate,44000,0
Pro-rata with match rate,44250,0
Pro-rata with match rate,44500,0
Pro-rata with match rate,44750,0
Pro-rata with match rate,45000,0
Pro-rata with match rate,45250,0
Pro-rata with match rate,45500,0
Pro-rata with match rate,45750,0
Pro-rata with match rate,46000,0
Pro-rata with match rate,46250,0
Pro-rata with match rate,46500,0
Pro-rata with match rate,46750,0
Pro-rata with match rate,47000,0
Pro-rata with match rate,47250,0
Pro-rata with match rate,47500,0
Pro-rata with match rate,47750,0
Pro-rata with match rate,48000,0
Pro-rata with match rate,48250,0
Pro-rata with match rate,48500,0
Pro-rata with match rate,48750,0
Pro-rata with match rate,49000,0
Pro-rata with match rate,49250,0
Pro-rata with match rate,49500,0
Pro-rata with match rate,49750,0
Pro-rata with match rate,50000,0
Pro-rata with match rate,50250,0
Pro-rata with match rate,50500,0
Pro-rata with match rate,50750,0
Pro-rata with match rate,51000,0
Pro-rata with match rate,51250,0
Pro-rata with match rate,51500,0
Pro-rata with match rate,51750,0
Pro-rata with match rate,52000,0
Pro-rata with match rate,52250,0
Pro-rata with match rate,52500,0
Pro-rata with match rate,52750,0
Pro-rata with match rate,53000,0
Pro-rata with match rate,53250,0
Pro-rata with match rate,53500,0
Pro-rata with match rate,53750,0
Pro-rata with match rate,54000,0
"Flat, then taper",0,100
"Flat, then taper",250,100
"Flat, then taper",500,100
"Flat, then taper",750,100
"Flat, then taper",1000,100
"Flat, then taper",1250,100
"Flat, then taper",1500,100
"Flat, then taper",1750,100
"Flat, then taper",2000,100
"Flat, then taper",2250,100
"Flat, then taper",2500,100
"Flat, then taper",2750,100
"Flat, then taper",3000,100
"Flat, then taper",3250,100
"Flat, then taper",3500,100
"Flat, then taper",3750,100
"Flat, then taper",4000,100
"Flat, then taper",4250,100
"Flat, then taper",4500,100
"Flat, then taper",4750,100
"Flat, then taper",5000,100
"Flat, then taper",5250,100
"Flat, then taper",5500,100
"Flat, then taper",5750,100
"Flat, then taper",6000,100
"Flat, then taper",6250,100
"Flat, then taper",6500,100
"Flat, then taper",6750,100
"Flat, then taper",7000,100
"Flat, then taper",7250,100
"Flat, then taper",7500,100
"Flat, then taper",7750,100
"Flat, then taper",8000,100
"Flat, then taper",8250,100
"Flat, then taper",8500,100
"Flat, then taper",8750,100
"Flat, then taper",9000,100
"Flat, then taper",9250,100
"Flat, then taper",9500,100
"Flat, then taper",9750,100
"Flat, then taper",10000,100
"Flat, then taper",10250,100
"Flat, then taper",10500,100
"Flat, then taper",10750,100
"Flat, then taper",11000,100
"Flat, then taper",11250,100
"Flat, then taper",11500,100
"Flat, then taper",11750,100
"Flat, then taper",12000,100
"Flat, then taper",12250,100
"Flat, then taper",12500,100
"Flat, then taper",12750,100
"Flat, then taper",13000,100
"Flat, then taper",13250,100
"Flat, then taper",13500,100
"Flat, then taper",13750,100
"Flat, then taper",14000,100
"Flat, then taper",14250,100
"Flat, then taper",14500,100
"Flat, then taper",14750,100
"Flat, then taper",15000,100
"Flat, then taper",15250,100
"Flat, then taper",15500,100
"Flat, then taper",15750,100
"Flat, then taper",16000,100
"Flat, then taper",16250,100
"Flat, then taper",16500,100
"Flat, then taper",16750,100
"Flat, then taper",17000,100
"Flat, then taper",17250,100
"Flat, then taper",17500,100
"Flat, then taper",17750,100
"Flat, then taper",18000,100
"Flat, then taper",18250,100
"Flat, then taper",18500,100
"Flat, then taper",18750,100
"Flat, then taper",19000,100
"Flat, then taper",19250,100
"Flat, then taper",19500,100
"Flat, then taper",19750,100
"Flat, then taper",20000,100
"Flat, then taper",20250,100
"Flat, then taper",20500,100
"Flat, then taper",20750,100
"Flat, then taper",21000,100
"Flat, then taper",21250,100
"Flat, then taper",21500,100
"Flat, then taper",21750,100
"Flat, then taper",22000,100
"Flat, then taper",22250,100
"Flat, then taper",22500,100
"Flat, then taper",22750,100
"Flat, then taper",23000,100
"Flat, then taper",23250,100
"Flat, then taper",23500,100
"Flat, then taper",23750,100
"Flat, then taper",24000,100
"Flat, then taper",24250,100
"Flat, then taper",24500,100
"Flat, then taper",24750,100
